,MMM,AOS,ABT,ABBV,ABMD,ACN,ATVI,ADM,ADBE,ADP,AAP,AES,AFL,A,AIG
2022-02-03,164.38999938964844,74.08999633789062,130.11000061035156,140.72999572753906,290.5199890136719,345.54998779296875,78.94999694824219,75.66999816894531,510.8299865722656,205.1300048828125,232.49000549316406,21.760000228881836,63.75,141.7899932861328,59.4900016784668
2022-02-04,160.72999572753906,73.58000183105469,129.7100067138672,140.64999389648438,295.6499938964844,347.5,79.25,75.70999908447266,513.5399780273438,206.25,226.99000549316406,21.90999984741211,64.69000244140625,141.1199951171875,60.9900016784668
2022-02-07,161.1699981689453,73.86000061035156,128.0500030517578,142.52999877929688,289.8399963378906,343.9599914550781,79.5,75.9800033569336,507.1000061035156,205.97999572753906,225.94000244140625,21.799999237060547,65.2699966430664,140.3699951171875,61.790000915527344
2022-02-08,162.41000366210938,74.19000244140625,128.64999389648438,143.50999450683594,309.0299987792969,345.07000732421875,80.2300033569336,76.69000244140625,511.30999755859375,208.41000366210938,230.1999969482422,22.489999771118164,66.04000091552734,140.80999755859375,62.70000076293945
2022-02-09,163.63999938964844,74.6500015258789,130.49000549316406,143.1999969482422,315.9200134277344,355.5299987792969,81.5,77.27999877929688,521.75,211.16000366210938,232.17999267578125,22.979999542236328,66.04000091552734,144.44000244140625,62.40999984741211
2022-02-10,159.74000549316406,72.2300033569336,127.76000213623047,142.7100067138672,307.1099853515625,342.3900146484375,81.44999694824219,76.44000244140625,495.0199890136719,205.5399932861328,222.72999572753906,22.350000381469727,65.55000305175781,141.66000366210938,62.220001220703125
2022-02-11,159.5399932861328,71.30999755859375,125.48999786376953,142.00999450683594,294.82000732421875,329.17999267578125,81.5,76.47000122070312,473.9700012207031,203.7899932861328,222.94000244140625,21.549999237060547,65.30999755859375,137.1999969482422,60.7400016784668
2022-02-14,158.00999450683594,71.2300033569336,122.77999877929688,143.0,290.42999267578125,326.1300048828125,81.5,76.12000274658203,474.010009765625,201.97999572753906,224.27999877929688,21.459999084472656,64.22000122070312,135.2100067138672,58.9900016784668
2022-02-15,157.33999633789062,72.45999908447266,123.9800033569336,144.75999450683594,304.70001220703125,329.4100036621094,81.5199966430664,76.80000305175781,479.5,204.02000427246094,222.60000610351562,21.559999465942383,64.55999755859375,135.91000366210938,60.380001068115234
2022-02-16,155.6300048828125,72.31999969482422,123.68000030517578,145.8699951171875,325.4200134277344,333.7200012207031,81.45999908447266,76.9000015258789,477.70001220703125,204.24000549316406,222.38999938964844,21.889999389648438,64.5199966430664,135.14999389648438,60.34000015258789
2022-02-17,148.63999938964844,71.05000305175781,120.58000183105469,144.97000122070312,307.1099853515625,322.9100036621094,80.97000122070312,76.6500015258789,457.7099914550781,200.4600067138672,220.41000366210938,21.469999313354492,63.20000076293945,130.25,61.380001068115234
2022-02-18,147.6199951171875,71.19999694824219,116.79000091552734,144.02999877929688,298.3800048828125,321.17999267578125,81.05000305175781,76.38999938964844,442.55999755859375,200.4499969482422,218.8000030517578,21.260000228881836,63.16999816894531,132.0500030517578,61.72999954223633
2022-02-22,146.75,69.52999877929688,117.51000213623047,145.55999755859375,296.6400146484375,321.1099853515625,81.2300033569336,76.70999908447266,438.3999938964844,199.89999389648438,206.75999450683594,21.010000228881836,62.77000045776367,130.49000549316406,61.61000061035156
2022-02-23,144.3800048828125,67.88999938964844,117.25,146.75999450683594,290.67999267578125,313.1600036621094,80.70999908447266,75.23999786376953,429.45001220703125,196.2899932861328,196.8000030517578,20.549999237060547,61.59000015258789,126.0,61.540000915527344
2022-02-24,143.6999969482422,67.7699966430664,118.72000122070312,145.27000427246094,306.9200134277344,316.1700134277344,81.01000213623047,75.8499984741211,463.82000732421875,200.22000122070312,200.80999755859375,20.920000076293945,59.619998931884766,128.14999389648438,60.380001068115234
2022-02-25,150.50999450683594,69.38999938964844,122.41000366210938,149.5399932861328,312.29998779296875,322.510009765625,81.44000244140625,78.9000015258789,465.5400085449219,204.36000061035156,205.57000732421875,21.110000610351562,61.95000076293945,133.72999572753906,63.15999984741211
